,datetime,open,high,low,close,volume
0,2023-03-30,101.60000,101.99000,101.01000,101.98500,8532973
1,2023-03-29,98.69000,100.42000,98.56000,100.25000,49708500
2,2023-03-28,98.11000,98.44000,96.29000,97.24000,38720100
3,2023-03-27,99.07000,99.34000,97.08000,98.04000,46721300
4,2023-03-24,98.07000,98.30000,96.40000,98.13000,56095400
5,2023-03-23,100.43000,101.06000,97.62000,98.71000,57559300
6,2023-03-22,100.45000,102.10000,98.61000,98.70000,57475400
7,2023-03-21,98.14000,100.85000,98.00000,100.61000,58597300
8,2023-03-20,98.41000,98.48000,95.70000,97.71000,62388900
9,2023-03-17,99.79000,100.66000,97.46000,98.95000,87173200
10,2023-03-16,95.75000,100.99000,95.61000,100.04000,84446900
11,2023-03-15,93.22000,96.67000,93.07000,96.20000,70731800
12,2023-03-14,93.83000,95.07000,92.71000,94.88000,60912700
13,2023-03-13,89.97000,94.02000,88.12000,92.43000,72397100
14,2023-03-10,92.67000,93.57000,90.25000,90.73000,69747500
15,2023-03-09,93.68000,96.21000,92.18000,92.25000,55591000
16,2023-03-08,93.60000,94.17000,92.18000,93.92000,44899100
17,2023-03-07,94.06000,95.09000,92.78000,93.55000,49100700
18,2023-03-06,95.19000,96.55000,93.74000,93.75000,52112400
19,2023-03-03,92.74000,94.94000,92.66000,94.90000,54853000
20,2023-03-02,91.41000,92.23000,90.39000,92.13000,54134000
21,2023-03-01,93.87000,94.68000,91.59000,92.17000,51906000
22,2023-02-28,93.14000,94.69000,92.92000,94.23000,43959000
23,2023-02-27,94.28000,94.78000,93.14000,93.76000,47470000
24,2023-02-24,93.53000,94.14000,92.31860,93.50000,57054000
25,2023-02-23,96.12000,96.43000,93.67000,95.82000,48467000
26,2023-02-22,95.10000,97.01000,94.80000,95.79000,59534000
27,2023-02-21,95.33500,95.60500,94.27000,94.58000,56580000
28,2023-02-17,97.80000,97.94000,95.65000,97.20000,60029000
29,2023-02-16,99.21000,100.63000,98.10000,98.15000,54395000
